Year,AUT,AUS,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,KOR,NLD,NOR,NZL,PRT,SWE,USA,CHN,IND,BRA,MEX,RUS,ZAF,IDN,THA,MYS,POL,TUR,CHL
1984,2.2556,0.5565,2.2851,0.2341,1.788,2.468,2.3019,2.0109,1.3131,1.0935,2.6065,2.0332,0.1468,2.8651,1.1212,-2.1677,1.1527,2.4697,0.5716,2.1118,2.9115,0.3897,-1.6006,-3.8016,-3.6526,-4.1898,0.7546,-4.2716,-3.2471,-3.0701,-3.9875,-0.2821,-3.4102,-1.7601
1985,2.1558,0.5193,2.2483,0.1947,1.7014,2.4081,2.2492,2.1601,1.2367,1.0441,2.4414,2.2222,0.192,2.9285,1.4268,-2.0492,1.0808,2.3361,0.5169,2.2034,2.8015,0.2486,-1.6403,-3.8171,-3.6022,-4.114,0.7024,-4.2873,-3.1392,-2.9576,-4.0685,-0.286,-3.3258,-1.731
1986,2.0716,0.4748,2.2198,0.1592,1.6136,2.3489,2.1529,2.2947,1.2122,1.0215,2.2758,2.4307,0.227,2.9894,1.7272,-1.912,1.0089,2.1747,0.4445,2.3139,2.6624,0.1142,-1.7142,-3.8313,-3.5394,-4.048,0.6572,-4.3178,-3.0195,-2.8561,-4.1461,-0.2437,-3.2495,-1.7174
1987,1.9827,0.4277,2.1886,0.1234,1.5248,2.2913,2.0362,2.399,1.2045,1.0093,2.1119,2.6087,0.2727,3.0493,2.016,-1.7771,0.9248,1.9844,0.3394,2.4347,2.4938,0.0068,-1.825,-3.8317,-3.4488,-3.9763,0.6358,-4.332,-2.8877,-2.7613,-4.1934,-0.1623,-3.1663,-1.7037
1988,1.8821,0.373,2.1475,0.0766,1.4214,2.2065,1.9181,2.4882,1.2005,0.9762,2.0373,2.7704,0.3493,3.0868,2.2824,-1.6895,0.8328,1.769,0.2318,2.5616,2.3058,-0.0948,-1.9998,-3.8183,-3.3373,-3.9104,0.6585,-4.3182,-2.7609,-2.6823,-4.2059,0.0154,-3.0817,-1.6922
1989,1.7749,0.3171,2.0985,0.0146,1.3191,2.0967,1.7889,2.5594,1.2125,0.9282,1.9763,2.9399,0.4339,3.1016,2.5351,-1.6464,0.7525,1.5498,0.127,2.6867,2.0973,-0.2085,-2.1785,-3.7897,-3.2142,-3.845,0.7329,-4.271,-2.6433,-2.6224,-4.1696,0.2223,-2.9943,-1.6823
1990,1.6626,0.2592,2.0366,-0.0467,1.2182,2.0304,1.6577,2.6291,1.2145,0.9097,1.8432,3.1076,0.5008,3.0877,2.774,-1.6062,0.6663,1.3331,0.0086,2.797,1.8765,-0.3241,-2.313,-3.7486,-3.0885,-3.7852,0.8658,-4.1776,-2.5415,-2.5831,-4.0813,0.3913,-2.8976,-1.6764
1991,1.5325,0.1936,1.9716,-0.098,1.0689,2.0225,1.5111,2.6496,1.2178,0.9299,1.7153,3.2345,0.5174,3.1124,3.0118,-1.557,0.5869,1.1023,-0.088,2.8731,1.6584,-0.4354,-2.336,-3.7133,-2.9757,-3.7523,1.0635,-4.0568,-2.4798,-2.5605,-3.9873,0.5583,-2.8074,-1.6838
1992,1.4016,0.139,1.9269,-0.1335,0.9265,2.036,1.3599,2.5993,1.2109,0.9665,1.6001,3.2563,0.5059,3.1108,3.2381,-1.506,0.527,0.8737,-0.174,2.8833,1.4669,-0.5166,-2.2234,-3.6826,-2.8711,-3.7332,1.3353,-3.9024,-2.4398,-2.5349,-3.9414,0.7102,-2.7322,-1.6829
1993,1.2942,0.1003,1.9171,-0.1485,0.8498,2.0776,1.2269,2.5329,1.2213,1.0017,1.4962,3.2489,0.5005,3.05,3.4236,-1.5008,0.4771,0.674,-0.2755,2.8465,1.3312,-0.5625,-2.1176,-3.6546,-2.7769,-3.7192,1.6034,-3.7852,-2.4051,-2.5054,-3.9413,0.859,-2.6765,-1.6631
1994,1.2313,0.0664,1.9028,-0.1515,0.8067,2.1613,1.1065,2.4468,1.284,1.0242,1.392,3.2502,0.4769,3.0525,3.5404,-1.5429,0.4322,0.51,-0.3732,2.7951,1.2418,-0.5994,-2.0258,-3.6325,-2.7039,-3.7161,1.7702,-3.6252,-2.3941,-2.4735,-3.9618,0.9966,-2.6509,-1.6371
1995,1.2088,0.0329,1.8643,-0.1442,0.7904,2.2456,0.993,2.3585,1.352,1.0324,1.2896,3.2251,0.4386,2.9874,3.6146,-1.5879,0.3959,0.3617,-0.4619,2.7241,1.2007,-0.624,-1.8727,-3.6164,-2.6527,-3.7124,1.9162,-3.4352,-2.413,-2.4268,-3.9855,1.1462,-2.6383,-1.6068
1996,1.2129,-0.0008,1.8362,-0.1238,0.7912,2.3231,0.8887,2.2469,1.4448,1.0574,1.2102,3.182,0.387,2.8653,3.7154,-1.6134,0.3881,0.2101,-0.5348,2.6259,1.207,-0.6344,-1.7441,-3.621,-2.6355,-3.7148,2.1159,-3.3158,-2.4701,-2.3766,-4.0153,1.3156,-2.6416,-1.5818
1997,1.244,-0.0225,1.8375,-0.0788,0.8116,2.3974,0.8245,2.093,1.541,1.0986,1.1767,3.0918,0.2995,2.8063,3.8103,-1.5891,0.3943,0.0641,-0.581,2.5082,1.2413,-0.6305,-1.6646,-3.6482,-2.6512,-3.7302,2.3007,-3.2349,-2.5625,-2.3274,-4.0506,1.4603,-2.6661,-1.5638
1998,1.2932,-0.0251,1.8579,-0.0096,0.8555,2.5282,0.7972,1.9393,1.6209,1.1059,1.166,2.9694,0.1709,2.787,3.8617,-1.5439,0.3906,-0.0618,-0.5879,2.402,1.3037,-0.6194,-1.6039,-3.6848,-2.6812,-3.7464,2.3754,-3.2014,-2.664,-2.2579,-4.0709,1.57,-2.6918,-1.5444
1999,1.3405,-0.0132,1.8426,0.0625,0.8985,2.6488,0.8069,1.7712,1.7432,1.087,1.1322,2.8343,0.0188,2.7702,3.8495,-1.4942,0.3896,-0.1443,-0.5536,2.2921,1.3878,-0.6112,-1.562,-3.714,-2.7027,-3.7491,2.3818,-3.1816,-2.7522,-2.1481,-4.0508,1.6414,-2.7083,-1.5133
2000,1.3446,0.0149,1.757,0.1423,0.9323,2.6539,0.8532,1.5961,1.8786,1.0084,1.07,2.6854,-0.1296,2.6784,3.8018,-1.4083,0.3851,-0.1873,-0.4821,2.1855,1.4437,-0.5916,-1.4951,-3.7203,-2.6915,-3.7322,2.3907,-3.1368,-2.8081,-2.01,-3.9498,1.676,-2.6996,-1.4557
2001,1.3212,0.047,1.6369,0.2358,0.9749,2.61,0.9132,1.3959,2.0122,0.8778,1.0233,2.5029,-0.272,2.5459,3.7945,-1.2853,0.4008,-0.1902,-0.3971,2.0529,1.4572,-0.5478,-1.4315,-3.7256,-2.6618,-3.7172,2.3833,-3.0718,-2.8447,-1.888,-3.7957,1.7171,-2.6811,-1.393
